date,symbol,isin,series,close
2026-09-04,ACC,INE012A01025,EQ,1283.8
2026-09-04,ACCELYA,INE793A01012,EQ,1131.0
2026-09-04,ACCURACY,INE648Z01023,BE,4.31
2026-09-04,ACEINTEG,INE543V01017,EQ,17.83
2026-09-04,ACMESOLAR,INE622W01025,EQ,418.0
2026-09-04,ACE,INE731H01025,EQ,1125.4
2026-09-04,ACUTAAS,INE00FF01025,EQ,3168.5
2026-09-04,ADANIENSOL,INE931S01010,EQ,1409.6
2026-09-04,ADANIENT,INE423A01024,EQ,2938.0
2026-09-04,ADANIGREEN,INE364U01010,EQ,1301.3
2026-09-04,ADANIPORTS,INE742F01042,EQ,1707.3
2026-09-04,ADANIPOWER,INE814H01029,EQ,207.2
2026-09-04,ATGL,INE399L01023,EQ,612.35
2026-09-04,ADDIND,INE757C01021,EQ,79.34
2026-09-04,ADFFOODS,INE982B01027,EQ,264.8
2026-09-04,ABSLAMC,INE404A01024,EQ,1062.3
2026-09-04,ABCAPITAL,INE674K01013,EQ,404.9
2026-09-04,ABFRL,INE647O01011,EQ,52.97
2026-09-04,ABLBL,INE14LE01019,EQ,86.07
2026-09-04,BIRLAMONEY,INE865C01022,EQ,126.37
2026-09-04,ABREL,INE055A01016,EQ,1373.6
2026-09-04,CPPLUS,INE819V01029,EQ,3704.6
2026-09-04,AVL,INE679V01027,EQ,600.05
2026-09-04,ADOR,INE045A01017,EQ,1674.4
2026-09-04,ADROITINFO,INE737B01033,EQ,10.31
2026-09-04,ADVAIT,INE0ALI01010,EQ,2151.3
2026-09-04,ADVANCE,INE1B0W01010,EQ,117.43
2026-09-04,ADVENZYMES,INE837H01020,EQ,293.2
2026-09-04,ADVANIHOTR,INE199C01026,EQ,49.45
2026-09-04,ADVENTHTL,INE28GN01010,EQ,134.57
2026-09-04,ADVIKCA,INE178T01024,EQ,1.12
2026-09-04,RAMBHAJO,INE1SJO01012,EQ,268.68
2026-09-04,AEGISLOG,INE208C01025,EQ,1270.2
2026-09-04,AEGISVOPAK,INE0INX01018,EQ,284.5
2026-09-04,AEQUS,INE947N01017,EQ,242.18
2026-09-04,AEROENTER,INE065D01027,EQ,141.81
2026-09-04,AEROFLEX,INE024001021,EQ,537.45
2026-09-04,AERONEU,INE035801013,EQ,80.57
2026-09-04,AETHER,INE0BWX01014,EQ,1625.6
2026-09-04,AFCONS,INE101I01011,EQ,292.8
2026-09-04,AFFLE,INE00WC01027,EQ,1616.5
2026-09-04,AFFORDABLE,INE692Z01013,EQ,157.47
2026-09-04,AGARIND,INE204E01012,EQ,450.8
2026-09-04,AGI,INE415A01038,EQ,735.25
2026-09-04,AGIIL,INE976R01033,EQ,283.7
2026-09-04,AGRITECH,INE449G01018,EQ,101.21
2026-09-04,AGROPHOS,INE740V01019,EQ,25.77
2026-09-04,AGSTRA,INE583L01014,BZ,1.99
2026-09-04,AHLADA,INE00PV01013,EQ,37.29
2026-09-04,AHLUCONT,INE758C01029,EQ,599.05
2026-09-04,AIAENG,INE212H01026,EQ,4231.2
2026-09-04,GOLDTECH,INE805A01014,BE,47.04
2026-09-04,AIRAN,INE645W01026,EQ,15.44
2026-09-04,AIROLAM,INE801L01010,EQ,86.46
2026-09-04,AJANTPHARM,INE031B01049,EQ,3464.8
2026-09-04,AJAXENGG,INE274Y01021,EQ,582.45
2026-09-04,AJMERA,INE298G01035,EQ,117.76
2026-09-04,AJOONI,INE820Y01021,EQ,3.71
2026-09-04,AKASH,INE737W01013,EQ,25.6
2026-09-04,AKG,INE00Y801016,EQ,9.59
2026-09-04,AKI,INE642Z01026,EQ,7.22
2026-09-04,AFIL,INE916Y01027,EQ,9.22
2026-09-04,AKSHOPTFBR,INE523B01011,BE,7.43
2026-09-04,AKSHAR,INE256Z01025,EQ,0.42
2026-09-04,AKSHARCHEM,INE542B01011,BE,444.85
2026-09-04,AKUMS,INE09XN01023,EQ,765.75
